"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-01","3.3","2.8","66.0","178.0",,"-8.9","-13.3","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-02","2.6","0.5","13.0","254.0",,"-6.1","-13.3","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-03","1.7","0.0","0.0","254.0",,"-6.1","-17.2","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-04","3.2","1.8","25.0","254.0",,"-1.7","-7.2","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-05","3.7","3.0","33.0","305.0",,"0.6","-2.2","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-06","3.3","0.0","0.0","279.0",,"-2.2","-7.2","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-07","4.2","1.3","20.0","279.0",,"-4.4","-9.4","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-08","6.2","5.8","119.0","305.0",,"-3.9","-5.6","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-09","5.5","0.8","10.0","381.0",,"-3.3","-9.4","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-10","1.8","0.0","0.0","406.0",,"-4.4","-16.1","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-11","0.4","0.0","0.0","381.0",,"-3.9","-17.8","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-12","1.2","0.0","0.0","381.0",,"-3.9","-16.1","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-13","0.7","0.0","5.0","381.0",,"-5.0","-12.2","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-14","4.7","2.3","41.0","381.0",,"-4.4","-15.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-15","5.7","0.8","18.0","432.0",,"-1.1","-5.6","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-16","5.9","0.0","0.0","432.0",,"1.1","-8.3","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-17","3.4","0.0","0.0","406.0",,"1.7","-8.9","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-18","1.6","0.0","0.0","381.0",,"2.8","-12.2","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-19","1.1","0.0","0.0","356.0",,"-0.6","-13.9","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-20","1.4","0.0","0.0","330.0",,"1.7","-7.8","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-21","1.5","0.0","0.0","330.0",,"-0.6","-10.6","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-22","3.1","0.0","0.0","330.0",,"0.0","-10.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-23","4.9","0.0","3.0","330.0",,"-5.0","-12.8","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-24","3.4","0.0","0.0","330.0",,"-6.7","-17.2","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-25","0.8","0.0","0.0","305.0",,"-3.3","-16.1","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-26","1.3","0.0","0.0","305.0",,"0.0","-15.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-27","2.5","0.0","0.0","305.0",,"3.3","-12.8","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-02-28","2.2","0.0","0.0","305.0",,"3.3","-8.9","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-01","1.7","0.0","0.0","305.0",,"3.3","-7.2","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-02","1.4","0.0","0.0","279.0",,"5.6","-7.2","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-03","1.6","0.0","0.0","254.0",,"5.0","-6.7","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-04","1.4","0.0","0.0","254.0",,"3.9","-6.7","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-05","2.8","0.0","0.0","229.0",,"5.6","-5.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-06","2.9","0.0","0.0","203.0",,"5.0","-4.4","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-07","1.6","0.5","0.0","152.0",,"8.3","1.7","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-08","2.9","0.0","0.0","102.0",,"2.8","1.1","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-09","4.3","1.0","0.0","102.0",,"3.9","0.6","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-10","4.3","6.9","0.0","51.0",,"5.6","1.7","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-11","4.4","6.4","0.0","0.0",,"8.3","1.7","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-12","2.0","0.8","0.0","0.0",,"6.1","3.3","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-13","5.7","0.0","0.0","0.0",,"7.2","3.3","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-14","4.2","0.0","0.0","0.0",,"17.8","4.4","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-15","3.1","0.0","0.0","0.0",,"15.6","5.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-16","2.9","2.0","0.0","0.0",,"10.0","4.4","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-17","2.9","0.0","0.0","0.0",,"14.4","1.1","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-18","4.0","0.0","0.0","0.0",,"17.8","3.9","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-19","6.1","0.0","0.0","0.0",,"7.2","-1.7","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-20","3.7","0.0","0.0","0.0",,"3.9","-5.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-21","1.6","0.0","0.0","0.0",,"10.0","-4.4","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-22","3.8","0.0","0.0","0.0",,"12.8","-1.1","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-23","4.1","0.0","0.0","0.0",,"16.1","2.8","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-24","3.5","0.0","0.0","0.0",,"12.8","-0.6","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-25","5.3","0.0","0.0","0.0",,"5.6","-4.4","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-26","6.1","0.0","0.0","0.0",,"10.6","-3.9","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-27","3.4","0.0","0.0","0.0",,"11.1","4.4","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-28","4.5","0.0","0.0","0.0",,"11.1","0.6","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-29","4.9","0.0","0.0","0.0",,"15.0","0.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-30","6.6","0.0","0.0","0.0",,"23.9","7.8","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-03-31","3.8","0.0","0.0","0.0",,"24.4","10.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-01","4.4","0.0","0.0","0.0",,"27.2","10.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-02","6.6","1.5","0.0","0.0",,"22.2","6.7","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-03","5.3","0.0","0.0","0.0",,"16.1","3.9","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-04","4.0","0.0","0.0","0.0",,"19.4","10.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-05","2.9","0.3","0.0","0.0",,"15.6","6.1","0.0"
